values,participants,groups
1.0,p_0,e_E
0.8333333333333334,p_0,e_H
1.0,p_0,e_S
1.0,p_1,e_E
0.8333333333333334,p_1,e_H
0.6666666666666666,p_1,e_S
0.3333333333333333,p_2,e_E
0.8333333333333334,p_2,e_H
0.0,p_2,e_S
1.0,p_3,e_E
1.0,p_3,e_H
1.0,p_3,e_S
1.0,p_4,e_E
1.0,p_4,e_H
1.0,p_4,e_S
1.0,p_5,e_E
1.0,p_5,e_H
0.8333333333333334,p_5,e_S
1.0,p_6,e_E
1.0,p_6,e_H
0.8333333333333334,p_6,e_S
1.0,p_7,e_E
1.0,p_7,e_H
0.8333333333333334,p_7,e_S
0.5,p_8,e_E
0.3333333333333333,p_8,e_H
0.5,p_8,e_S
1.0,p_9,e_E
1.0,p_9,e_H
0.5,p_9,e_S
0.8333333333333334,p_10,e_E
1.0,p_10,e_H
0.8333333333333334,p_10,e_S
0.6666666666666666,p_11,e_E
0.8333333333333334,p_11,e_H
0.6666666666666666,p_11,e_S
1.0,p_12,e_E
1.0,p_12,e_H
0.8333333333333334,p_12,e_S
1.0,p_13,e_E
0.6666666666666666,p_13,e_H
0.6666666666666666,p_13,e_S
0.6666666666666666,p_14,e_E
0.6666666666666666,p_14,e_H
0.8333333333333334,p_14,e_S
0.8333333333333334,p_15,e_E
0.8333333333333334,p_15,e_H
1.0,p_15,e_S
1.0,p_16,e_E
1.0,p_16,e_H
1.0,p_16,e_S
0.8333333333333334,p_17,e_E
0.6666666666666666,p_17,e_H
0.6666666666666666,p_17,e_S
1.0,p_18,e_E
0.8333333333333334,p_18,e_H
0.8333333333333334,p_18,e_S
0.6666666666666666,p_19,e_E
1.0,p_19,e_H
0.6666666666666666,p_19,e_S
0.6666666666666666,p_20,e_E
0.6666666666666666,p_20,e_H
0.5,p_20,e_S
0.6666666666666666,p_21,e_E
0.8333333333333334,p_21,e_H
0.5,p_21,e_S
1.0,p_22,e_E
0.8333333333333334,p_22,e_H
0.8333333333333334,p_22,e_S
0.8333333333333334,p_23,e_E
0.8333333333333334,p_23,e_H
0.6666666666666666,p_23,e_S
0.6666666666666666,p_24,e_E
0.6666666666666666,p_24,e_H
0.8333333333333334,p_24,e_S
1.0,p_25,e_E
1.0,p_25,e_H
0.8333333333333334,p_25,e_S
0.8333333333333334,p_26,e_E
0.8333333333333334,p_26,e_H
1.0,p_26,e_S
0.8333333333333334,p_27,e_E
0.8333333333333334,p_27,e_H
0.8333333333333334,p_27,e_S
1.0,p_28,e_E
1.0,p_28,e_H
0.6666666666666666,p_28,e_S
0.6666666666666666,p_29,e_E
0.5,p_29,e_H
1.0,p_29,e_S
0.3333333333333333,p_30,e_E
0.3333333333333333,p_30,e_H
0.16666666666666666,p_30,e_S
