values,participants,groups
0.0,p_0,e_E
5.666666666666667,p_0,e_H
1.5,p_0,e_S
0.0,p_1,e_E
8.0,p_1,e_H
0.16666666666666666,p_1,e_S
0.0,p_2,e_E
15.5,p_2,e_H
0.5,p_2,e_S
0.0,p_3,e_E
4.166666666666667,p_3,e_H
0.0,p_3,e_S
0.0,p_4,e_E
4.0,p_4,e_H
1.1666666666666667,p_4,e_S
0.0,p_5,e_E
2.0,p_5,e_H
0.0,p_5,e_S
0.6666666666666666,p_6,e_E
6.5,p_6,e_H
1.8333333333333333,p_6,e_S
0.0,p_7,e_E
5.666666666666667,p_7,e_H
1.6666666666666667,p_7,e_S
0.0,p_8,e_E
2.3333333333333335,p_8,e_H
0.0,p_8,e_S
0.6666666666666666,p_9,e_E
16.166666666666668,p_9,e_H
13.833333333333334,p_9,e_S
1.5,p_10,e_E
9.833333333333334,p_10,e_H
3.8333333333333335,p_10,e_S
0.0,p_11,e_E
42.333333333333336,p_11,e_H
6.833333333333333,p_11,e_S
0.0,p_12,e_E
18.5,p_12,e_H
3.3333333333333335,p_12,e_S
0.0,p_13,e_E
4.0,p_13,e_H
3.0,p_13,e_S
1.3333333333333333,p_14,e_E
29.833333333333332,p_14,e_H
0.0,p_14,e_S
0.0,p_15,e_E
3.5,p_15,e_H
2.5,p_15,e_S
0.0,p_16,e_E
43.333333333333336,p_16,e_H
19.333333333333332,p_16,e_S
0.16666666666666666,p_17,e_E
1.3333333333333333,p_17,e_H
1.0,p_17,e_S
0.16666666666666666,p_18,e_E
15.833333333333334,p_18,e_H
7.5,p_18,e_S
0.0,p_19,e_E
2.8333333333333335,p_19,e_H
0.0,p_19,e_S
0.0,p_20,e_E
17.5,p_20,e_H
20.166666666666668,p_20,e_S
0.0,p_21,e_E
27.333333333333332,p_21,e_H
0.0,p_21,e_S
0.0,p_22,e_E
4.166666666666667,p_22,e_H
0.0,p_22,e_S
0.0,p_23,e_E
1.5,p_23,e_H
6.0,p_23,e_S
0.0,p_24,e_E
17.666666666666668,p_24,e_H
4.666666666666667,p_24,e_S
0.0,p_25,e_E
20.0,p_25,e_H
6.833333333333333,p_25,e_S
1.3333333333333333,p_26,e_E
18.833333333333332,p_26,e_H
21.5,p_26,e_S
0.0,p_27,e_E
6.833333333333333,p_27,e_H
4.0,p_27,e_S
0.0,p_28,e_E
11.833333333333334,p_28,e_H
8.0,p_28,e_S
0.0,p_29,e_E
0.0,p_29,e_H
7.833333333333333,p_29,e_S
0.0,p_30,e_E
6.666666666666667,p_30,e_H
0.0,p_30,e_S
