values,participants,groups
12.472000000000001,p_0,e_E
34.4005,p_0,e_H
20.947,p_0,e_S
32.634,p_1,e_E
17.1955,p_1,e_H
14.221499999999999,p_1,e_S
14.176,p_2,e_E
34.909,p_2,e_H
8.1705,p_2,e_S
17.355999999999998,p_3,e_E
19.572,p_3,e_H
10.9585,p_3,e_S
16.831,p_4,e_E
23.093,p_4,e_H
17.476,p_4,e_S
20.8285,p_5,e_E
35.311499999999995,p_5,e_H
30.8035,p_5,e_S
12.238999999999999,p_6,e_E
23.073500000000003,p_6,e_H
15.784,p_6,e_S
15.123000000000001,p_7,e_E
16.427999999999997,p_7,e_H
14.947500000000002,p_7,e_S
14.304,p_8,e_E
21.5705,p_8,e_H
33.6225,p_8,e_S
35.765,p_9,e_E
45.275,p_9,e_H
25.392,p_9,e_S
76.6185,p_10,e_E
24.081,p_10,e_H
34.288,p_10,e_S
11.888000000000002,p_11,e_E
37.0325,p_11,e_H
14.661,p_11,e_S
19.1265,p_12,e_E
59.411500000000004,p_12,e_H
18.26,p_12,e_S
15.133500000000002,p_13,e_E
19.3315,p_13,e_H
14.4925,p_13,e_S
23.2965,p_14,e_E
32.3065,p_14,e_H
17.489,p_14,e_S
17.7855,p_15,e_E
20.3735,p_15,e_H
17.143500000000003,p_15,e_S
57.236,p_16,e_E
74.494,p_16,e_H
71.33500000000001,p_16,e_S
22.1635,p_17,e_E
36.8065,p_17,e_H
32.424,p_17,e_S
18.384999999999998,p_18,e_E
34.4595,p_18,e_H
15.8035,p_18,e_S
27.411500000000004,p_19,e_E
26.869,p_19,e_H
63.065,p_19,e_S
12.831,p_20,e_E
14.7775,p_20,e_H
26.219,p_20,e_S
18.985500000000002,p_21,e_E
15.749,p_21,e_H
15.815000000000001,p_21,e_S
37.426,p_22,e_E
26.425,p_22,e_H
21.951,p_22,e_S
17.449,p_23,e_E
27.2965,p_23,e_H
27.136499999999998,p_23,e_S
20.3275,p_24,e_E
39.7705,p_24,e_H
20.1605,p_24,e_S
16.261499999999998,p_25,e_E
25.009,p_25,e_H
20.176,p_25,e_S
40.43,p_26,e_E
44.426,p_26,e_H
60.577,p_26,e_S
12.0465,p_27,e_E
23.7235,p_27,e_H
11.523,p_27,e_S
11.325,p_28,e_E
28.1545,p_28,e_H
12.634,p_28,e_S
20.6685,p_29,e_E
4.405,p_29,e_H
23.8395,p_29,e_S
39.935,p_30,e_E
55.624,p_30,e_H
25.7425,p_30,e_S
