values,participants,groups
0.8333333333333334,p_0,h_E
1.0,p_0,h_H
1.0,p_0,h_S
1.0,p_1,h_E
0.8333333333333334,p_1,h_H
1.0,p_1,h_S
0.5,p_2,h_E
0.6666666666666666,p_2,h_H
0.8333333333333334,p_2,h_S
1.0,p_3,h_E
1.0,p_3,h_H
1.0,p_3,h_S
1.0,p_4,h_E
1.0,p_4,h_H
0.8333333333333334,p_4,h_S
0.8333333333333334,p_5,h_E
1.0,p_5,h_H
1.0,p_5,h_S
1.0,p_6,h_E
1.0,p_6,h_H
1.0,p_6,h_S
1.0,p_7,h_E
1.0,p_7,h_H
1.0,p_7,h_S
0.5,p_8,h_E
0.8333333333333334,p_8,h_H
0.8333333333333334,p_8,h_S
1.0,p_9,h_E
1.0,p_9,h_H
1.0,p_9,h_S
0.6666666666666666,p_10,h_E
0.5,p_10,h_H
0.8333333333333334,p_10,h_S
0.8333333333333334,p_11,h_E
0.6666666666666666,p_11,h_H
1.0,p_11,h_S
1.0,p_12,h_E
0.8333333333333334,p_12,h_H
1.0,p_12,h_S
0.8333333333333334,p_13,h_E
1.0,p_13,h_H
0.8333333333333334,p_13,h_S
1.0,p_14,h_E
0.6666666666666666,p_14,h_H
0.6666666666666666,p_14,h_S
0.8333333333333334,p_15,h_E
1.0,p_15,h_H
1.0,p_15,h_S
1.0,p_16,h_E
1.0,p_16,h_H
1.0,p_16,h_S
0.5,p_17,h_E
0.8333333333333334,p_17,h_H
0.8333333333333334,p_17,h_S
0.8333333333333334,p_18,h_E
0.8333333333333334,p_18,h_H
1.0,p_18,h_S
1.0,p_19,h_E
0.5,p_19,h_H
1.0,p_19,h_S
0.6666666666666666,p_20,h_E
0.3333333333333333,p_20,h_H
1.0,p_20,h_S
0.3333333333333333,p_21,h_E
0.5,p_21,h_H
0.5,p_21,h_S
1.0,p_22,h_E
1.0,p_22,h_H
0.8333333333333334,p_22,h_S
1.0,p_23,h_E
0.8333333333333334,p_23,h_H
1.0,p_23,h_S
0.8333333333333334,p_24,h_E
0.6666666666666666,p_24,h_H
0.3333333333333333,p_24,h_S
1.0,p_25,h_E
1.0,p_25,h_H
1.0,p_25,h_S
1.0,p_26,h_E
0.8333333333333334,p_26,h_H
0.6666666666666666,p_26,h_S
0.8333333333333334,p_27,h_E
1.0,p_27,h_H
1.0,p_27,h_S
1.0,p_28,h_E
1.0,p_28,h_H
1.0,p_28,h_S
1.0,p_29,h_E
0.3333333333333333,p_29,h_H
0.6666666666666666,p_29,h_S
0.5,p_30,h_E
0.3333333333333333,p_30,h_H
0.16666666666666666,p_30,h_S
