values,participants,groups
0.0,p_0,h_E
0.5,p_0,h_H
0.0,p_0,h_S
0.0,p_1,h_E
4.0,p_1,h_H
4.5,p_1,h_S
0.5,p_2,h_E
16.0,p_2,h_H
0.8333333333333334,p_2,h_S
0.0,p_3,h_E
2.1666666666666665,p_3,h_H
0.0,p_3,h_S
0.0,p_4,h_E
3.8333333333333335,p_4,h_H
0.6666666666666666,p_4,h_S
0.0,p_5,h_E
5.5,p_5,h_H
0.0,p_5,h_S
0.0,p_6,h_E
17.166666666666668,p_6,h_H
3.3333333333333335,p_6,h_S
0.0,p_7,h_E
2.8333333333333335,p_7,h_H
3.6666666666666665,p_7,h_S
0.0,p_8,h_E
2.5,p_8,h_H
0.0,p_8,h_S
0.5,p_9,h_E
2.5,p_9,h_H
12.666666666666666,p_9,h_S
0.0,p_10,h_E
31.0,p_10,h_H
3.8333333333333335,p_10,h_S
0.0,p_11,h_E
7.5,p_11,h_H
3.0,p_11,h_S
0.0,p_12,h_E
8.166666666666666,p_12,h_H
3.0,p_12,h_S
0.0,p_13,h_E
1.3333333333333333,p_13,h_H
0.16666666666666666,p_13,h_S
0.0,p_14,h_E
33.333333333333336,p_14,h_H
0.0,p_14,h_S
0.0,p_15,h_E
4.5,p_15,h_H
2.6666666666666665,p_15,h_S
0.0,p_16,h_E
7.833333333333333,p_16,h_H
26.166666666666668,p_16,h_S
0.0,p_17,h_E
4.5,p_17,h_H
0.0,p_17,h_S
1.8333333333333333,p_18,h_E
47.666666666666664,p_18,h_H
4.166666666666667,p_18,h_S
0.0,p_19,h_E
13.666666666666666,p_19,h_H
0.0,p_19,h_S
0.0,p_20,h_E
10.833333333333334,p_20,h_H
36.166666666666664,p_20,h_S
0.6666666666666666,p_21,h_E
1.5,p_21,h_H
0.0,p_21,h_S
0.0,p_22,h_E
0.8333333333333334,p_22,h_H
0.16666666666666666,p_22,h_S
0.0,p_23,h_E
1.8333333333333333,p_23,h_H
0.0,p_23,h_S
0.8333333333333334,p_24,h_E
4.666666666666667,p_24,h_H
1.3333333333333333,p_24,h_S
0.0,p_25,h_E
8.833333333333334,p_25,h_H
12.5,p_25,h_S
2.0,p_26,h_E
50.0,p_26,h_H
37.166666666666664,p_26,h_S
0.5,p_27,h_E
5.833333333333333,p_27,h_H
3.3333333333333335,p_27,h_S
0.0,p_28,h_E
10.166666666666666,p_28,h_H
15.0,p_28,h_S
0.0,p_29,h_E
0.0,p_29,h_H
40.666666666666664,p_29,h_S
0.0,p_30,h_E
1.0,p_30,h_H
0.16666666666666666,p_30,h_S
