values,participants,groups
15.7225,p_0,h_E
15.0595,p_0,h_H
14.6445,p_0,h_S
16.2975,p_1,h_E
12.2035,p_1,h_H
21.9225,p_1,h_S
17.7255,p_2,h_E
27.383499999999998,p_2,h_H
8.2485,p_2,h_S
25.420499999999997,p_3,h_E
17.4815,p_3,h_H
15.6555,p_3,h_S
14.793,p_4,h_E
35.519,p_4,h_H
12.948,p_4,h_S
21.323999999999998,p_5,h_E
16.1495,p_5,h_H
17.269000000000002,p_5,h_S
13.3615,p_6,h_E
19.7515,p_6,h_H
21.9575,p_6,h_S
12.8945,p_7,h_E
15.4585,p_7,h_H
11.696,p_7,h_S
27.4565,p_8,h_E
14.264500000000002,p_8,h_H
22.256,p_8,h_S
21.637999999999998,p_9,h_E
29.7715,p_9,h_H
27.567,p_9,h_S
46.277,p_10,h_E
38.1535,p_10,h_H
30.366,p_10,h_S
9.834,p_11,h_E
14.895,p_11,h_H
13.288,p_11,h_S
15.547,p_12,h_E
50.413,p_12,h_H
14.835,p_12,h_S
15.453,p_13,h_E
11.2265,p_13,h_H
14.723500000000001,p_13,h_S
10.315999999999999,p_14,h_E
27.4285,p_14,h_H
11.032499999999999,p_14,h_S
13.675500000000001,p_15,h_E
23.497500000000002,p_15,h_H
15.474,p_15,h_S
43.744,p_16,h_E
25.375500000000002,p_16,h_H
53.915,p_16,h_S
12.1805,p_17,h_E
41.1265,p_17,h_H
25.093,p_17,h_S
21.0875,p_18,h_E
36.947,p_18,h_H
20.997999999999998,p_18,h_S
19.538,p_19,h_E
23.5085,p_19,h_H
27.490000000000002,p_19,h_S
10.3855,p_20,h_E
9.282,p_20,h_H
28.182499999999997,p_20,h_S
57.038,p_21,h_E
23.66,p_21,h_H
20.816499999999998,p_21,h_S
12.975,p_22,h_E
24.292499999999997,p_22,h_H
16.4255,p_22,h_S
18.9605,p_23,h_E
15.5805,p_23,h_H
13.172,p_23,h_S
21.808,p_24,h_E
16.985500000000002,p_24,h_H
25.147,p_24,h_S
17.9765,p_25,h_E
15.874500000000001,p_25,h_H
16.2355,p_25,h_S
38.084500000000006,p_26,h_E
51.361999999999995,p_26,h_H
40.685500000000005,p_26,h_S
10.9085,p_27,h_E
18.0525,p_27,h_H
17.6045,p_27,h_S
10.4695,p_28,h_E
20.15,p_28,h_H
25.119,p_28,h_S
20.828000000000003,p_29,h_E
5.3774999999999995,p_29,h_H
15.2495,p_29,h_S
24.334,p_30,h_E
19.789,p_30,h_H
46.711,p_30,h_S
