values,participants,groups
1.0,p_0,s_E
0.6666666666666666,p_0,s_H
1.0,p_0,s_S
0.6666666666666666,p_1,s_E
1.0,p_1,s_H
1.0,p_1,s_S
0.8333333333333334,p_2,s_E
0.3333333333333333,p_2,s_H
0.5,p_2,s_S
0.8333333333333334,p_3,s_E
1.0,p_3,s_H
1.0,p_3,s_S
1.0,p_4,s_E
1.0,p_4,s_H
1.0,p_4,s_S
0.6666666666666666,p_5,s_E
1.0,p_5,s_H
1.0,p_5,s_S
1.0,p_6,s_E
1.0,p_6,s_H
0.8333333333333334,p_6,s_S
1.0,p_7,s_E
1.0,p_7,s_H
1.0,p_7,s_S
0.8333333333333334,p_8,s_E
0.5,p_8,s_H
1.0,p_8,s_S
1.0,p_9,s_E
1.0,p_9,s_H
1.0,p_9,s_S
1.0,p_10,s_E
0.6666666666666666,p_10,s_H
0.6666666666666666,p_10,s_S
1.0,p_11,s_E
0.6666666666666666,p_11,s_H
0.8333333333333334,p_11,s_S
1.0,p_12,s_E
1.0,p_12,s_H
1.0,p_12,s_S
1.0,p_13,s_E
1.0,p_13,s_H
0.8333333333333334,p_13,s_S
0.8333333333333334,p_14,s_E
0.6666666666666666,p_14,s_H
0.8333333333333334,p_14,s_S
0.8333333333333334,p_15,s_E
1.0,p_15,s_H
0.8333333333333334,p_15,s_S
1.0,p_16,s_E
1.0,p_16,s_H
1.0,p_16,s_S
0.6666666666666666,p_17,s_E
1.0,p_17,s_H
0.8333333333333334,p_17,s_S
1.0,p_18,s_E
0.8333333333333334,p_18,s_H
1.0,p_18,s_S
0.8333333333333334,p_19,s_E
1.0,p_19,s_H
0.3333333333333333,p_19,s_S
0.8333333333333334,p_20,s_E
0.6666666666666666,p_20,s_H
0.6666666666666666,p_20,s_S
0.5,p_21,s_E
0.6666666666666666,p_21,s_H
0.6666666666666666,p_21,s_S
1.0,p_22,s_E
1.0,p_22,s_H
1.0,p_22,s_S
1.0,p_23,s_E
0.6666666666666666,p_23,s_H
1.0,p_23,s_S
0.5,p_24,s_E
0.5,p_24,s_H
0.5,p_24,s_S
0.8333333333333334,p_25,s_E
1.0,p_25,s_H
1.0,p_25,s_S
0.8333333333333334,p_26,s_E
1.0,p_26,s_H
1.0,p_26,s_S
1.0,p_27,s_E
0.8333333333333334,p_27,s_H
0.6666666666666666,p_27,s_S
1.0,p_28,s_E
0.8333333333333334,p_28,s_H
1.0,p_28,s_S
0.8333333333333334,p_29,s_E
0.3333333333333333,p_29,s_H
0.8333333333333334,p_29,s_S
0.5,p_30,s_E
0.0,p_30,s_H
0.3333333333333333,p_30,s_S
