values,participants,groups
0.0,p_0,s_E
1.5,p_0,s_H
2.3333333333333335,p_0,s_S
0.0,p_1,s_E
9.333333333333334,p_1,s_H
4.5,p_1,s_S
1.0,p_2,s_E
3.8333333333333335,p_2,s_H
3.0,p_2,s_S
0.16666666666666666,p_3,s_E
2.3333333333333335,p_3,s_H
1.6666666666666667,p_3,s_S
0.0,p_4,s_E
14.0,p_4,s_H
4.5,p_4,s_S
0.0,p_5,s_E
4.833333333333333,p_5,s_H
0.3333333333333333,p_5,s_S
0.0,p_6,s_E
7.0,p_6,s_H
1.6666666666666667,p_6,s_S
0.0,p_7,s_E
4.666666666666667,p_7,s_H
1.0,p_7,s_S
0.0,p_8,s_E
2.3333333333333335,p_8,s_H
1.1666666666666667,p_8,s_S
0.8333333333333334,p_9,s_E
54.666666666666664,p_9,s_H
4.666666666666667,p_9,s_S
0.0,p_10,s_E
9.333333333333334,p_10,s_H
7.666666666666667,p_10,s_S
0.0,p_11,s_E
57.333333333333336,p_11,s_H
10.833333333333334,p_11,s_S
0.0,p_12,s_E
11.833333333333334,p_12,s_H
2.1666666666666665,p_12,s_S
0.0,p_13,s_E
1.1666666666666667,p_13,s_H
4.666666666666667,p_13,s_S
0.0,p_14,s_E
16.0,p_14,s_H
4.0,p_14,s_S
0.0,p_15,s_E
1.3333333333333333,p_15,s_H
0.5,p_15,s_S
0.0,p_16,s_E
43.0,p_16,s_H
37.5,p_16,s_S
0.3333333333333333,p_17,s_E
0.5,p_17,s_H
0.5,p_17,s_S
0.0,p_18,s_E
75.66666666666667,p_18,s_H
36.5,p_18,s_S
0.0,p_19,s_E
21.333333333333332,p_19,s_H
0.0,p_19,s_S
0.0,p_20,s_E
58.666666666666664,p_20,s_H
31.666666666666668,p_20,s_S
0.0,p_21,s_E
59.666666666666664,p_21,s_H
62.5,p_21,s_S
0.0,p_22,s_E
1.3333333333333333,p_22,s_H
0.0,p_22,s_S
0.0,p_23,s_E
15.5,p_23,s_H
0.0,p_23,s_S
0.0,p_24,s_E
5.833333333333333,p_24,s_H
4.333333333333333,p_24,s_S
1.6666666666666667,p_25,s_E
12.333333333333334,p_25,s_H
8.5,p_25,s_S
1.0,p_26,s_E
16.666666666666668,p_26,s_H
24.5,p_26,s_S
0.0,p_27,s_E
6.833333333333333,p_27,s_H
3.1666666666666665,p_27,s_S
0.0,p_28,s_E
11.166666666666666,p_28,s_H
11.333333333333334,p_28,s_S
0.0,p_29,s_E
0.0,p_29,s_H
0.0,p_29,s_S
0.0,p_30,s_E
2.6666666666666665,p_30,s_H
0.0,p_30,s_S
