values,participants,groups
7.726,p_0,s_E
20.461,p_0,s_H
12.951,p_0,s_S
13.646,p_1,s_E
14.4025,p_1,s_H
13.130500000000001,p_1,s_S
18.3455,p_2,s_E
23.101,p_2,s_H
11.241499999999998,p_2,s_S
15.525500000000001,p_3,s_E
13.515,p_3,s_H
15.167,p_3,s_S
10.224499999999999,p_4,s_E
26.153,p_4,s_H
12.397,p_4,s_S
33.7635,p_5,s_E
13.886,p_5,s_H
12.5045,p_5,s_S
12.7745,p_6,s_E
25.9555,p_6,s_H
10.523,p_6,s_S
10.387,p_7,s_E
9.147,p_7,s_H
17.2325,p_7,s_S
7.6645,p_8,s_E
17.325499999999998,p_8,s_H
30.6355,p_8,s_S
22.6465,p_9,s_E
34.0805,p_9,s_H
13.275500000000001,p_9,s_S
24.3245,p_10,s_E
25.718,p_10,s_H
28.5995,p_10,s_S
8.0775,p_11,s_E
18.248,p_11,s_H
13.9115,p_11,s_S
8.0765,p_12,s_E
21.994999999999997,p_12,s_H
11.326,p_12,s_S
12.058,p_13,s_E
11.527000000000001,p_13,s_H
12.4495,p_13,s_S
9.197,p_14,s_E
17.545499999999997,p_14,s_H
15.850000000000001,p_14,s_S
16.705,p_15,s_E
9.432,p_15,s_H
12.721,p_15,s_S
19.6535,p_16,s_E
40.7255,p_16,s_H
51.7115,p_16,s_S
41.9775,p_17,s_E
13.775500000000001,p_17,s_H
18.942,p_17,s_S
16.33,p_18,s_E
29.771,p_18,s_H
11.6465,p_18,s_S
20.4405,p_19,s_E
40.634,p_19,s_H
30.161,p_19,s_S
11.2955,p_20,s_E
19.619,p_20,s_H
29.935499999999998,p_20,s_S
30.47,p_21,s_E
21.833,p_21,s_H
36.082,p_21,s_S
23.7175,p_22,s_E
26.25,p_22,s_H
11.1085,p_22,s_S
23.119999999999997,p_23,s_E
20.304000000000002,p_23,s_H
11.735,p_23,s_S
15.7395,p_24,s_E
11.5195,p_24,s_H
13.907,p_24,s_S
18.061999999999998,p_25,s_E
12.090499999999999,p_25,s_H
12.4375,p_25,s_S
21.118000000000002,p_26,s_E
19.7195,p_26,s_H
29.783,p_26,s_S
9.276,p_27,s_E
20.6445,p_27,s_H
14.937999999999999,p_27,s_S
6.037,p_28,s_E
15.7005,p_28,s_H
13.477,p_28,s_S
13.7455,p_29,s_E
2.521,p_29,s_H
15.626999999999999,p_29,s_S
15.829,p_30,s_E
19.482,p_30,s_H
31.599000000000004,p_30,s_S
