values,participants,groups
0.9444444444444444,p_0,E
0.8333333333333334,p_0,H
1.0,p_0,S
0.8888888888888888,p_1,E
0.8888888888888888,p_1,H
0.8888888888888888,p_1,S
0.5555555555555556,p_2,E
0.6111111111111112,p_2,H
0.4444444444444444,p_2,S
0.9444444444444444,p_3,E
1.0,p_3,H
1.0,p_3,S
1.0,p_4,E
1.0,p_4,H
0.9444444444444444,p_4,S
0.8333333333333334,p_5,E
1.0,p_5,H
0.9444444444444444,p_5,S
1.0,p_6,E
1.0,p_6,H
0.8888888888888888,p_6,S
1.0,p_7,E
1.0,p_7,H
0.9444444444444444,p_7,S
0.6111111111111112,p_8,E
0.5555555555555556,p_8,H
0.7777777777777778,p_8,S
1.0,p_9,E
1.0,p_9,H
0.8333333333333334,p_9,S
0.8333333333333334,p_10,E
0.7222222222222222,p_10,H
0.7777777777777778,p_10,S
0.8333333333333334,p_11,E
0.7222222222222222,p_11,H
0.8333333333333334,p_11,S
1.0,p_12,E
0.9444444444444444,p_12,H
0.9444444444444444,p_12,S
0.9444444444444444,p_13,E
0.8888888888888888,p_13,H
0.7777777777777778,p_13,S
0.8333333333333334,p_14,E
0.6666666666666666,p_14,H
0.7777777777777778,p_14,S
0.8333333333333334,p_15,E
0.9444444444444444,p_15,H
0.9444444444444444,p_15,S
1.0,p_16,E
1.0,p_16,H
1.0,p_16,S
0.6666666666666666,p_17,E
0.8333333333333334,p_17,H
0.7777777777777778,p_17,S
0.9444444444444444,p_18,E
0.8333333333333334,p_18,H
0.9444444444444444,p_18,S
0.8333333333333334,p_19,E
0.8333333333333334,p_19,H
0.6666666666666666,p_19,S
0.7222222222222222,p_20,E
0.5555555555555556,p_20,H
0.7222222222222222,p_20,S
0.5,p_21,E
0.6666666666666666,p_21,H
0.5555555555555556,p_21,S
1.0,p_22,E
0.9444444444444444,p_22,H
0.8888888888888888,p_22,S
0.9444444444444444,p_23,E
0.7777777777777778,p_23,H
0.8888888888888888,p_23,S
0.6666666666666666,p_24,E
0.6111111111111112,p_24,H
0.5555555555555556,p_24,S
0.9444444444444444,p_25,E
1.0,p_25,H
0.9444444444444444,p_25,S
0.8888888888888888,p_26,E
0.8888888888888888,p_26,H
0.8888888888888888,p_26,S
0.8888888888888888,p_27,E
0.8888888888888888,p_27,H
0.8333333333333334,p_27,S
1.0,p_28,E
0.9444444444444444,p_28,H
0.8888888888888888,p_28,S
0.8333333333333334,p_29,E
0.3888888888888889,p_29,H
0.8333333333333334,p_29,S
0.4444444444444444,p_30,E
0.2222222222222222,p_30,H
0.2222222222222222,p_30,S
