values,participants,groups
0.0,p_0,E
2.5555555555555554,p_0,H
1.2777777777777777,p_0,S
0.0,p_1,E
7.111111111111111,p_1,H
3.0555555555555554,p_1,S
0.5,p_2,E
11.777777777777779,p_2,H
1.4444444444444444,p_2,S
0.05555555555555555,p_3,E
2.888888888888889,p_3,H
0.5555555555555556,p_3,S
0.0,p_4,E
7.277777777777778,p_4,H
2.111111111111111,p_4,S
0.0,p_5,E
4.111111111111111,p_5,H
0.1111111111111111,p_5,S
0.2222222222222222,p_6,E
10.222222222222221,p_6,H
2.2777777777777777,p_6,S
0.0,p_7,E
4.388888888888889,p_7,H
2.111111111111111,p_7,S
0.0,p_8,E
2.388888888888889,p_8,H
0.3888888888888889,p_8,S
0.6666666666666666,p_9,E
24.444444444444443,p_9,H
10.38888888888889,p_9,S
0.5,p_10,E
16.72222222222222,p_10,H
5.111111111111111,p_10,S
0.0,p_11,E
35.72222222222222,p_11,H
6.888888888888889,p_11,S
0.0,p_12,E
12.833333333333334,p_12,H
2.8333333333333335,p_12,S
0.0,p_13,E
2.1666666666666665,p_13,H
2.611111111111111,p_13,S
0.4444444444444444,p_14,E
26.38888888888889,p_14,H
1.3333333333333333,p_14,S
0.0,p_15,E
3.111111111111111,p_15,H
1.8888888888888888,p_15,S
0.0,p_16,E
31.38888888888889,p_16,H
27.666666666666668,p_16,S
0.16666666666666666,p_17,E
2.111111111111111,p_17,H
0.5,p_17,S
0.6666666666666666,p_18,E
46.388888888888886,p_18,H
16.055555555555557,p_18,S
0.0,p_19,E
12.61111111111111,p_19,H
0.0,p_19,S
0.0,p_20,E
29.0,p_20,H
29.333333333333332,p_20,S
0.2222222222222222,p_21,E
29.5,p_21,H
20.833333333333332,p_21,S
0.0,p_22,E
2.111111111111111,p_22,H
0.05555555555555555,p_22,S
0.0,p_23,E
6.277777777777778,p_23,H
2.0,p_23,S
0.2777777777777778,p_24,E
9.38888888888889,p_24,H
3.4444444444444446,p_24,S
0.5555555555555556,p_25,E
13.722222222222221,p_25,H
9.277777777777779,p_25,S
1.4444444444444444,p_26,E
28.5,p_26,H
27.72222222222222,p_26,S
0.16666666666666666,p_27,E
6.5,p_27,H
3.5,p_27,S
0.0,p_28,E
11.055555555555555,p_28,H
11.444444444444445,p_28,S
0.0,p_29,E
0.0,p_29,H
16.166666666666668,p_29,S
0.0,p_30,E
3.4444444444444446,p_30,H
0.05555555555555555,p_30,S
