values,participants,groups
15.377,p_0,T1_E
18.889,p_0,T1_H
20.034,p_0,T1_S
7.979,p_0,T3_E
19.986,p_0,T3_H
14.309,p_0,T3_S
15.893,p_1,T2_E
10.145,p_1,T2_H
12.785,p_1,T2_S
17.74,p_1,T5_E
20.243,p_1,T5_H
15.95,p_1,T5_S
22.614,p_2,T4_E
25.969,p_2,T4_H
7.544,p_2,T4_S
14.101,p_2,T6_E
34.594,p_2,T6_H
8.953,p_2,T6_S
15.909,p_3,T2_E
11.937,p_3,T2_H
9.205,p_3,T2_S
20.156,p_3,T5_E
24.981,p_3,T5_H
21.12,p_3,T5_S
8.819,p_4,T2_E
23.858,p_4,T2_H
10.952,p_4,T2_S
15.778,p_4,T5_E
42.354,p_4,T5_H
15.372,p_4,T5_S
31.938,p_5,T1_E
33.68,p_5,T1_H
25.702,p_5,T1_S
24.773,p_5,T3_E
16.677,p_5,T3_H
12.862,p_5,T3_S
8.197,p_6,T2_E
17.467,p_6,T2_H
14.017,p_6,T2_S
21.117,p_6,T5_E
43.686,p_6,T5_H
21.002,p_6,T5_S
15.801,p_7,T1_E
17.397,p_7,T1_H
16.547,p_7,T1_S
11.513,p_7,T3_E
10.943,p_7,T3_H
12.844,p_7,T3_S
15.02,p_8,T1_E
17.838,p_8,T1_H
40.675,p_8,T1_S
13.673,p_8,T3_E
17.547,p_8,T3_H
23.59,p_8,T3_S
30.811,p_9,T1_E
34.463,p_9,T1_H
24.738,p_9,T1_S
20.235,p_9,T3_E
43.901,p_9,T3_H
21.88,p_9,T3_S
31.14,p_10,T4_E
16.478,p_10,T4_H
26.358,p_10,T4_S
64.662,p_10,T6_E
39.935,p_10,T6_H
35.768,p_10,T6_S
7.893,p_11,T2_E
15.998,p_11,T2_H
7.924,p_11,T2_S
13.872,p_11,T5_E
34.409,p_11,T5_H
14.813,p_11,T5_S
13.834,p_12,T2_E
23.512,p_12,T2_H
11.211,p_12,T2_S
20.068,p_12,T5_E
85.336,p_12,T5_H
22.088,p_12,T5_S
15.332,p_13,T1_E
18.464,p_13,T1_H
16.691,p_13,T1_S
11.463,p_13,T3_E
12.332,p_13,T3_H
12.693,p_13,T3_S
11.876,p_14,T4_E
10.043,p_14,T4_H
12.356,p_14,T4_S
10.866,p_14,T6_E
40.863,p_14,T6_H
17.744,p_14,T6_S
17.484,p_15,T1_E
24.244,p_15,T1_H
16.004,p_15,T1_S
17.902,p_15,T3_E
10.049,p_15,T3_H
15.531,p_15,T3_S
38.972,p_16,T1_E
66.482,p_16,T1_H
65.209,p_16,T1_S
42.386,p_16,T3_E
51.036,p_16,T3_H
59.908,p_16,T3_S
34.658,p_17,T1_E
39.353,p_17,T1_H
29.505,p_17,T1_S
12.862,p_17,T3_E
16.29,p_17,T3_H
22.617,p_17,T3_S
17.876,p_18,T2_E
24.079,p_18,T2_H
15.174,p_18,T2_S
18.894,p_18,T5_E
49.272,p_18,T5_H
19.084,p_18,T5_S
18.834,p_19,T4_E
26.743,p_19,T4_H
45.381,p_19,T4_S
22.047,p_19,T6_E
28.762,p_19,T6_H
30.709,p_19,T6_S
6.668,p_20,T4_E
8.549,p_20,T4_H
12.516,p_20,T4_S
13.275,p_20,T6_E
27.489,p_20,T6_H
50.239,p_20,T6_S
16.354,p_21,T2_E
15.054,p_21,T2_H
17.536,p_21,T2_S
46.818,p_21,T5_E
27.001,p_21,T5_H
27.938,p_21,T5_S
35.7,p_22,T1_E
23.2,p_22,T1_H
16.284,p_22,T1_S
26.184,p_22,T3_E
29.867,p_22,T3_H
14.25,p_22,T3_S
20.844,p_23,T1_E
24.115,p_23,T1_H
20.338,p_23,T1_S
14.054,p_23,T3_E
17.107,p_23,T3_H
10.646,p_23,T3_S
33.447,p_24,T1_E
26.947,p_24,T1_H
21.665,p_24,T1_S
15.524,p_24,T3_E
12.323,p_24,T3_H
16.093,p_24,T3_S
14.621,p_25,T2_E
11.151,p_25,T2_H
14.037,p_25,T2_S
26.103,p_25,T5_E
23.874,p_25,T5_H
16.935,p_25,T5_S
26.523,p_26,T1_E
44.533,p_26,T1_H
40.587,p_26,T1_S
36.783,p_26,T3_E
28.712,p_26,T3_H
54.66,p_26,T3_S
11.39,p_27,T2_E
16.743,p_27,T2_H
11.628,p_27,T2_S
12.044,p_27,T5_E
31.551,p_27,T5_H
15.688,p_27,T5_S
7.097,p_28,T2_E
13.401,p_28,T2_H
12.416,p_28,T2_S
11.541,p_28,T5_E
56.843,p_28,T5_H
17.571,p_28,T5_S
22.789,p_29,T1_E
4.169,p_29,T1_H
16.755,p_29,T1_S
15.746,p_29,T3_E
3.194,p_29,T3_H
14.569,p_29,T3_S
20.995,p_30,T4_E
8.55,p_30,T4_H
20.953,p_30,T4_S
47.536,p_30,T6_E
33.589,p_30,T6_H
42.381,p_30,T6_S
