,g1-e(E),g1-e(H),g1-e(S),g2-e(E),g2-e(H),g2-e(S),g3-e(E),g3-e(H),g3-e(S),g4-h(E),g4-h(H),g4-h(S),g5-h(E),g5-h(H),g5-h(S),g6-h(E),g6-h(H),g6-h(S),g7-s(E),g7-s(H),g7-s(S),g8-s(E),g8-s(H),g8-s(S),g9-s(E),g9-s(H),g9-s(S)
p_325,11.3085,22.4805,24.726,15.3165,47.168,15.8755,10.949,30.633,24.6215,18.6535,12.788,15.6655,24.1295,15.0595,11.321,10.0255,16.362,15.8955,15.3015,19.9125,20.7675,6.6685,35.793,12.7605,8.006,16.8065,14.7425
p_328,21.22,20.3795,19.613,44.221,21.7825,12.1125,210.675,15.194,15.206,16.2975,13.2315,38.6375,18.931,18.9565,23.7165,9.9405,10.3205,11.301,21.5,14.4025,10.6845,20.123,12.299,18.108,11.1405,15.7375,11.8925
p_329,18.013,22.3815,25.1095,8.2415,40.699,7.076,20.7505,55.0185,8.1705,19.8875,45.5575,6.6805,17.5605,27.3835,8.2485,27.916,19.08,10.9495,18.3455,16.8735,6.585,28.5625,19.524,20.239,16.7545,46.2705,11.2415
p_330,17.85,23.0435,18.1585,17.8455,15.2015,14.467,17.356,26.425,10.9585,67.541,41.4245,17.505,25.4205,27.582,17.7575,12.627,8.36,15.6555,20.0195,9.376,13.521,49.326,14.172,14.5605,10.637,19.473,15.2565
p_335,18.711,23.093,14.7525,12.4215,22.815,12.434,17.1455,21.816,18.0715,50.0005,33.7415,17.2955,19.349,60.0095,14.001,10.629,42.746,9.0275,8.6905,49.238,12.7845,14.035,63.1535,10.533,7.894,9.053,11.264
p_336,25.493,47.9735,20.251,13.0185,35.3115,40.193,38.004,52.0275,27.023,14.7565,22.24,27.711,21.0475,15.4165,17.269,32.722,17.4385,10.8325,56.0195,31.948,28.2705,38.353,19.7595,14.94,9.144,13.886,11.089
p_337,18.535,18.084,20.4555,37.331,34.4735,18.092,11.6095,28.376,15.784,17.03,29.6055,38.6615,22.7935,42.491,23.1875,10.405,12.0535,16.893,24.19,61.24,9.6985,8.8405,63.63,25.7985,11.2035,10.203,7.866
p_338,16.9355,13.201,9.9195,12.268,26.7995,12.935,14.7505,12.6625,32.3815,12.795,21.366,11.1135,10.7245,17.4385,10.49,15.0385,7.4385,17.5875,18.762,19.184,29.177,10.9565,7.628,24.941,9.528,8.538,11.43
p_339,10.5755,40.804,32.6925,29.7295,21.3615,46.567,14.304,24.5545,31.2855,34.1735,14.2625,32.1325,27.4565,12.416,17.027,69.0535,18.2015,16.1345,24.288,20.744,36.64,7.6645,15.0595,42.017,6.1525,17.6925,13.882
p_341,50.9275,45.115,24.3635,45.482,42.4445,80.5615,20.7275,66.812,21.8615,19.726,29.7715,35.3165,11.969,48.1205,29.7675,34.1165,23.2355,12.972,29.575,95.397,25.6315,45.4935,50.607,11.229,22.2595,34.0805,17.162
