values,participants,groups
0.0,p_325,e(E)
2.0,p_325,e(H)
3.0,p_325,e(S)
0.0,p_328,e(E)
14.0,p_328,e(H)
0.0,p_328,e(S)
0.0,p_329,e(E)
33.0,p_329,e(H)
0.0,p_329,e(S)
0.0,p_330,e(E)
3.0,p_330,e(H)
0.0,p_330,e(S)
0.0,p_335,e(E)
3.0,p_335,e(H)
0.0,p_335,e(S)
0.0,p_336,e(E)
4.0,p_336,e(H)
0.0,p_336,e(S)
0.0,p_337,e(E)
11.0,p_337,e(H)
3.0,p_337,e(S)
0.0,p_338,e(E)
8.0,p_338,e(H)
0.0,p_338,e(S)
0.0,p_339,e(E)
3.0,p_339,e(H)
0.0,p_339,e(S)
0.0,p_341,e(E)
28.0,p_341,e(H)
15.0,p_341,e(S)
2.0,p_342,e(E)
13.0,p_342,e(H)
9.0,p_342,e(S)
0.0,p_343,e(E)
8.0,p_343,e(H)
6.0,p_343,e(S)
0.0,p_347,e(E)
38.0,p_347,e(H)
4.0,p_347,e(S)
0.0,p_348,e(E)
5.0,p_348,e(H)
0.0,p_348,e(S)
1.0,p_349,e(E)
83.0,p_349,e(H)
0.0,p_349,e(S)
0.0,p_350,e(E)
7.0,p_350,e(H)
6.0,p_350,e(S)
0.0,p_351,e(E)
34.0,p_351,e(H)
33.0,p_351,e(S)
0.0,p_358,e(E)
3.0,p_358,e(H)
0.0,p_358,e(S)
0.0,p_359,e(E)
26.0,p_359,e(H)
6.0,p_359,e(S)
0.0,p_363,e(E)
5.0,p_363,e(H)
0.0,p_363,e(S)
0.0,p_369,e(E)
35.0,p_369,e(H)
37.0,p_369,e(S)
0.0,p_370,e(E)
0.0,p_370,e(H)
0.0,p_370,e(S)
0.0,p_371,e(E)
8.0,p_371,e(H)
0.0,p_371,e(S)
0.0,p_372,e(E)
3.0,p_372,e(H)
0.0,p_372,e(S)
0.0,p_376,e(E)
20.0,p_376,e(H)
7.0,p_376,e(S)
0.0,p_378,e(E)
18.0,p_378,e(H)
8.0,p_378,e(S)
3.0,p_382,e(E)
29.0,p_382,e(H)
45.0,p_382,e(S)
0.0,p_385,e(E)
7.0,p_385,e(H)
6.0,p_385,e(S)
0.0,p_387,e(E)
2.0,p_387,e(H)
0.0,p_387,e(S)
0.0,p_397,e(E)
23.0,p_397,e(H)
11.0,p_397,e(S)
0.0,p_400,e(E)
0.0,p_400,e(H)
9.0,p_400,e(S)
0.0,p_404,e(E)
19.0,p_404,e(H)
0.0,p_404,e(S)
