values,participants,groups
9.666666666666666,p_325,e(E)
12.166666666666666,p_325,e(H)
22.5,p_325,e(S)
10.0,p_328,e(E)
9.333333333333334,p_328,e(H)
12.166666666666666,p_328,e(S)
23.833333333333332,p_329,e(E)
18.5,p_329,e(H)
8.666666666666666,p_329,e(S)
8.833333333333334,p_330,e(E)
11.166666666666666,p_330,e(H)
11.166666666666666,p_330,e(S)
11.666666666666666,p_335,e(E)
10.666666666666666,p_335,e(H)
14.333333333333334,p_335,e(S)
12.0,p_336,e(E)
16.5,p_336,e(H)
26.166666666666668,p_336,e(S)
10.666666666666666,p_337,e(E)
8.333333333333334,p_337,e(H)
9.333333333333334,p_337,e(S)
6.0,p_338,e(E)
8.0,p_338,e(H)
12.5,p_338,e(S)
12.333333333333334,p_339,e(E)
12.0,p_339,e(H)
29.0,p_339,e(S)
21.333333333333332,p_341,e(E)
23.333333333333332,p_341,e(H)
31.833333333333332,p_341,e(S)
38.166666666666664,p_342,e(E)
8.166666666666666,p_342,e(H)
25.833333333333332,p_342,e(S)
13.666666666666666,p_343,e(E)
24.666666666666668,p_343,e(H)
22.666666666666668,p_343,e(S)
8.0,p_347,e(E)
18.833333333333332,p_347,e(H)
12.166666666666666,p_347,e(S)
5.333333333333333,p_348,e(E)
8.833333333333334,p_348,e(H)
9.166666666666666,p_348,e(S)
20.0,p_349,e(E)
12.5,p_349,e(H)
6.833333333333333,p_349,e(S)
11.666666666666666,p_350,e(E)
10.333333333333334,p_350,e(H)
21.333333333333332,p_350,e(S)
67.5,p_351,e(E)
45.166666666666664,p_351,e(H)
57.166666666666664,p_351,e(S)
18.333333333333332,p_358,e(E)
9.666666666666666,p_358,e(H)
26.833333333333332,p_358,e(S)
16.0,p_359,e(E)
14.666666666666666,p_359,e(H)
15.666666666666666,p_359,e(S)
29.833333333333332,p_363,e(E)
7.666666666666667,p_363,e(H)
55.0,p_363,e(S)
12.166666666666666,p_369,e(E)
8.833333333333334,p_369,e(H)
44.333333333333336,p_369,e(S)
14.166666666666666,p_370,e(E)
6.0,p_370,e(H)
8.5,p_370,e(S)
27.666666666666668,p_371,e(E)
16.166666666666668,p_371,e(H)
29.333333333333332,p_371,e(S)
15.666666666666666,p_372,e(E)
15.833333333333334,p_372,e(H)
20.0,p_372,e(S)
10.166666666666666,p_376,e(E)
16.666666666666668,p_376,e(H)
21.833333333333332,p_376,e(S)
11.333333333333334,p_378,e(E)
17.5,p_378,e(H)
22.166666666666668,p_378,e(S)
44.666666666666664,p_382,e(E)
21.833333333333332,p_382,e(H)
86.16666666666667,p_382,e(S)
7.833333333333333,p_385,e(E)
13.166666666666666,p_385,e(H)
10.166666666666666,p_385,e(S)
11.0,p_387,e(E)
6.666666666666667,p_387,e(H)
19.0,p_387,e(S)
