values,participants,groups
12524.666666666666,p_325,e(E)
33427.166666666664,p_325,e(H)
21741.0,p_325,e(S)
92038.66666666667,p_328,e(E)
19118.666666666668,p_328,e(H)
15643.833333333334,p_328,e(S)
15668.333333333334,p_329,e(E)
39366.333333333336,p_329,e(H)
13452.0,p_329,e(S)
17683.833333333332,p_330,e(E)
21556.666666666668,p_330,e(H)
14528.0,p_330,e(S)
16092.666666666666,p_335,e(E)
22574.666666666668,p_335,e(H)
15086.0,p_335,e(S)
25505.166666666668,p_336,e(E)
45104.166666666664,p_336,e(H)
29155.666666666668,p_336,e(S)
22491.833333333332,p_337,e(E)
26977.833333333332,p_337,e(H)
18110.5,p_337,e(S)
14651.333333333334,p_338,e(E)
17554.333333333332,p_338,e(H)
18412.0,p_338,e(S)
18203.0,p_339,e(E)
28906.666666666668,p_339,e(H)
36848.333333333336,p_339,e(S)
39045.666666666664,p_341,e(E)
51457.166666666664,p_341,e(H)
42262.166666666664,p_341,e(S)
83054.33333333333,p_342,e(E)
25771.833333333332,p_342,e(H)
33342.666666666664,p_342,e(S)
14093.166666666666,p_343,e(E)
51163.833333333336,p_343,e(H)
13597.5,p_343,e(S)
19526.833333333332,p_347,e(E)
63393.0,p_347,e(H)
22989.833333333332,p_347,e(S)
19534.166666666668,p_348,e(E)
22863.5,p_348,e(H)
15110.0,p_348,e(S)
26743.166666666668,p_349,e(E)
34286.0,p_349,e(H)
18968.833333333332,p_349,e(S)
17607.0,p_350,e(E)
21689.5,p_350,e(H)
20651.833333333332,p_350,e(S)
69134.5,p_351,e(E)
84358.33333333333,p_351,e(H)
71943.16666666667,p_351,e(S)
34100.833333333336,p_358,e(E)
35630.666666666664,p_358,e(H)
38335.666666666664,p_358,e(S)
37017.833333333336,p_359,e(E)
33863.0,p_359,e(H)
16320.166666666666,p_359,e(S)
35804.333333333336,p_363,e(E)
25865.833333333332,p_363,e(H)
55907.5,p_363,e(S)
11322.833333333334,p_369,e(E)
17371.666666666668,p_369,e(H)
38749.0,p_369,e(S)
23175.333333333332,p_370,e(E)
20083.5,p_370,e(H)
17287.666666666668,p_370,e(S)
35851.0,p_371,e(E)
29839.166666666668,p_371,e(H)
22498.0,p_371,e(S)
20480.0,p_372,e(E)
31113.5,p_372,e(H)
24518.333333333332,p_372,e(S)
27882.333333333332,p_376,e(E)
39654.5,p_376,e(H)
23820.5,p_376,e(S)
20563.333333333332,p_378,e(E)
24533.666666666668,p_378,e(H)
20352.166666666668,p_378,e(S)
109809.5,p_382,e(E)
50611.333333333336,p_382,e(H)
62551.5,p_382,e(S)
12638.833333333334,p_385,e(E)
24542.833333333332,p_385,e(H)
15220.0,p_385,e(S)
70841.0,p_387,e(E)
168526.0,p_387,e(H)
27842.666666666668,p_387,e(S)
