values,participants,groups
0.0,p_325,e(E)
4.333333333333333,p_325,e(H)
0.0,p_325,e(S)
0.0,p_328,e(E)
4.833333333333333,p_328,e(H)
0.16666666666666666,p_328,e(S)
0.0,p_329,e(E)
4.5,p_329,e(H)
0.0,p_329,e(S)
0.0,p_330,e(E)
2.5,p_330,e(H)
0.0,p_330,e(S)
0.0,p_335,e(E)
2.1666666666666665,p_335,e(H)
1.1666666666666667,p_335,e(S)
0.0,p_336,e(E)
0.0,p_336,e(H)
0.0,p_336,e(S)
0.6666666666666666,p_337,e(E)
5.0,p_337,e(H)
1.8333333333333333,p_337,e(S)
0.0,p_338,e(E)
4.166666666666667,p_338,e(H)
1.1666666666666667,p_338,e(S)
0.0,p_339,e(E)
0.0,p_339,e(H)
0.0,p_339,e(S)
0.0,p_341,e(E)
13.833333333333334,p_341,e(H)
12.166666666666666,p_341,e(S)
0.0,p_342,e(E)
3.6666666666666665,p_342,e(H)
3.3333333333333335,p_342,e(S)
0.0,p_343,e(E)
33.0,p_343,e(H)
6.333333333333333,p_343,e(S)
0.0,p_347,e(E)
11.166666666666666,p_347,e(H)
3.3333333333333335,p_347,e(S)
0.0,p_348,e(E)
0.8333333333333334,p_348,e(H)
3.0,p_348,e(S)
0.16666666666666666,p_349,e(E)
25.5,p_349,e(H)
0.0,p_349,e(S)
0.0,p_350,e(E)
0.0,p_350,e(H)
0.0,p_350,e(S)
0.0,p_351,e(E)
33.833333333333336,p_351,e(H)
19.333333333333332,p_351,e(S)
0.0,p_358,e(E)
0.0,p_358,e(H)
0.0,p_358,e(S)
0.0,p_359,e(E)
11.5,p_359,e(H)
4.5,p_359,e(S)
0.0,p_363,e(E)
0.0,p_363,e(H)
0.0,p_363,e(S)
0.0,p_369,e(E)
9.333333333333334,p_369,e(H)
20.166666666666668,p_369,e(S)
0.0,p_370,e(E)
26.666666666666668,p_370,e(H)
0.0,p_370,e(S)
0.0,p_371,e(E)
0.6666666666666666,p_371,e(H)
0.0,p_371,e(S)
0.0,p_372,e(E)
0.0,p_372,e(H)
6.0,p_372,e(S)
0.0,p_376,e(E)
15.0,p_376,e(H)
4.666666666666667,p_376,e(S)
0.0,p_378,e(E)
12.833333333333334,p_378,e(H)
4.666666666666667,p_378,e(S)
0.0,p_382,e(E)
11.0,p_382,e(H)
16.166666666666668,p_382,e(S)
0.0,p_385,e(E)
3.5,p_385,e(H)
3.5,p_385,e(S)
0.0,p_387,e(E)
0.0,p_387,e(H)
0.3333333333333333,p_387,e(S)
