values,participants,groups
0.0,p_325,h(E)
1.0,p_325,h(H)
0.0,p_325,h(S)
0.0,p_328,h(E)
7.0,p_328,h(H)
7.0,p_328,h(S)
0.0,p_329,h(E)
11.0,p_329,h(H)
0.0,p_329,h(S)
0.0,p_330,h(E)
2.0,p_330,h(H)
0.0,p_330,h(S)
0.0,p_335,h(E)
6.0,p_335,h(H)
0.0,p_335,h(S)
0.0,p_336,h(E)
12.0,p_336,h(H)
0.0,p_336,h(S)
0.0,p_337,h(E)
11.0,p_337,h(H)
8.0,p_337,h(S)
0.0,p_338,h(E)
4.0,p_338,h(H)
0.0,p_338,h(S)
0.0,p_339,h(E)
6.0,p_339,h(H)
0.0,p_339,h(S)
0.0,p_341,h(E)
6.0,p_341,h(H)
28.0,p_341,h(S)
0.0,p_342,h(E)
72.0,p_342,h(H)
7.0,p_342,h(S)
0.0,p_343,h(E)
2.0,p_343,h(H)
0.0,p_343,h(S)
0.0,p_347,h(E)
19.0,p_347,h(H)
6.0,p_347,h(S)
0.0,p_348,h(E)
2.0,p_348,h(H)
0.0,p_348,h(S)
0.0,p_349,h(E)
89.0,p_349,h(H)
0.0,p_349,h(S)
0.0,p_350,h(E)
8.0,p_350,h(H)
3.0,p_350,h(S)
0.0,p_351,h(E)
17.0,p_351,h(H)
19.0,p_351,h(S)
0.0,p_358,h(E)
2.0,p_358,h(H)
0.0,p_358,h(S)
0.0,p_359,h(E)
25.0,p_359,h(H)
5.0,p_359,h(S)
0.0,p_363,h(E)
7.0,p_363,h(H)
0.0,p_363,h(S)
0.0,p_369,h(E)
21.0,p_369,h(H)
47.0,p_369,h(S)
1.0,p_370,h(E)
3.0,p_370,h(H)
0.0,p_370,h(S)
0.0,p_371,h(E)
2.0,p_371,h(H)
0.0,p_371,h(S)
0.0,p_372,h(E)
3.0,p_372,h(H)
0.0,p_372,h(S)
0.0,p_376,h(E)
4.0,p_376,h(H)
0.0,p_376,h(S)
0.0,p_378,h(E)
9.0,p_378,h(H)
22.0,p_378,h(S)
3.0,p_382,h(E)
101.0,p_382,h(H)
80.0,p_382,h(S)
0.0,p_385,h(E)
13.0,p_385,h(H)
7.0,p_385,h(S)
0.0,p_387,h(E)
6.0,p_387,h(H)
0.0,p_387,h(S)
0.0,p_397,h(E)
15.0,p_397,h(H)
20.0,p_397,h(S)
0.0,p_400,h(E)
0.0,p_400,h(H)
78.0,p_400,h(S)
0.0,p_404,h(E)
2.0,p_404,h(H)
0.0,p_404,h(S)
