values,participants,groups
0.9444444444444445,p_325,h(E)
1.0,p_325,h(H)
1.0,p_325,h(S)
1.0,p_328,h(E)
0.8888888888888888,p_328,h(H)
1.0,p_328,h(S)
0.7777777777777778,p_329,h(E)
0.888888888888889,p_329,h(H)
0.9444444444444445,p_329,h(S)
1.0,p_330,h(E)
1.0,p_330,h(H)
1.0,p_330,h(S)
1.0,p_335,h(E)
1.0,p_335,h(H)
0.9444444444444445,p_335,h(S)
0.9444444444444445,p_336,h(E)
1.0,p_336,h(H)
1.0,p_336,h(S)
1.0,p_337,h(E)
1.0,p_337,h(H)
1.0,p_337,h(S)
1.0,p_338,h(E)
1.0,p_338,h(H)
1.0,p_338,h(S)
0.7222222222222222,p_339,h(E)
0.9444444444444445,p_339,h(H)
0.9444444444444445,p_339,h(S)
1.0,p_341,h(E)
1.0,p_341,h(H)
1.0,p_341,h(S)
0.888888888888889,p_342,h(E)
0.8333333333333334,p_342,h(H)
0.8333333333333334,p_342,h(S)
0.9444444444444445,p_343,h(E)
0.888888888888889,p_343,h(H)
1.0,p_343,h(S)
1.0,p_347,h(E)
0.9444444444444445,p_347,h(H)
1.0,p_347,h(S)
0.9444444444444445,p_348,h(E)
1.0,p_348,h(H)
0.9444444444444445,p_348,h(S)
1.0,p_349,h(E)
0.888888888888889,p_349,h(H)
0.888888888888889,p_349,h(S)
0.9444444444444445,p_350,h(E)
1.0,p_350,h(H)
1.0,p_350,h(S)
1.0,p_351,h(E)
1.0,p_351,h(H)
1.0,p_351,h(S)
0.8333333333333334,p_358,h(E)
0.9444444444444445,p_358,h(H)
0.8888888888888888,p_358,h(S)
0.9444444444444445,p_359,h(E)
0.9444444444444445,p_359,h(H)
1.0,p_359,h(S)
1.0,p_363,h(E)
0.7777777777777778,p_363,h(H)
1.0,p_363,h(S)
0.888888888888889,p_369,h(E)
0.7777777777777778,p_369,h(H)
1.0,p_369,h(S)
0.6111111111111112,p_370,h(E)
0.6666666666666666,p_370,h(H)
0.6111111111111112,p_370,h(S)
1.0,p_371,h(E)
1.0,p_371,h(H)
0.9444444444444445,p_371,h(S)
1.0,p_372,h(E)
0.9444444444444445,p_372,h(H)
1.0,p_372,h(S)
0.9444444444444445,p_376,h(E)
0.888888888888889,p_376,h(H)
0.7777777777777778,p_376,h(S)
1.0,p_378,h(E)
1.0,p_378,h(H)
1.0,p_378,h(S)
1.0,p_382,h(E)
0.9444444444444445,p_382,h(H)
0.888888888888889,p_382,h(S)
0.9444444444444445,p_385,h(E)
1.0,p_385,h(H)
1.0,p_385,h(S)
0.7777777777777778,p_387,h(E)
0.888888888888889,p_387,h(H)
0.6666666666666666,p_387,h(S)
