values,participants,groups
15.333333333333334,p_325,h(E)
9.5,p_325,h(H)
11.166666666666666,p_325,h(S)
4.5,p_328,h(E)
9.833333333333334,p_328,h(H)
21.833333333333332,p_328,h(S)
29.666666666666668,p_329,h(E)
10.833333333333334,p_329,h(H)
14.333333333333334,p_329,h(S)
10.666666666666666,p_330,h(E)
12.833333333333334,p_330,h(H)
12.333333333333334,p_330,h(S)
17.666666666666668,p_335,h(E)
22.0,p_335,h(H)
13.166666666666666,p_335,h(S)
13.666666666666666,p_336,h(E)
9.0,p_336,h(H)
16.0,p_336,h(S)
10.166666666666666,p_337,h(E)
8.666666666666666,p_337,h(H)
24.666666666666668,p_337,h(S)
7.5,p_338,h(E)
6.166666666666667,p_338,h(H)
9.833333333333334,p_338,h(S)
13.5,p_339,h(E)
6.5,p_339,h(H)
13.833333333333334,p_339,h(S)
13.5,p_341,h(E)
14.0,p_341,h(H)
19.666666666666668,p_341,h(S)
10.5,p_342,h(E)
15.166666666666666,p_342,h(H)
35.666666666666664,p_342,h(S)
15.166666666666666,p_343,h(E)
11.5,p_343,h(H)
19.5,p_343,h(S)
12.166666666666666,p_347,h(E)
17.666666666666668,p_347,h(H)
12.333333333333334,p_347,h(S)
4.5,p_348,h(E)
3.5,p_348,h(H)
15.5,p_348,h(S)
6.333333333333333,p_349,h(E)
7.666666666666667,p_349,h(H)
11.666666666666666,p_349,h(S)
15.0,p_350,h(E)
10.5,p_350,h(H)
17.333333333333332,p_350,h(S)
39.833333333333336,p_351,h(E)
18.166666666666668,p_351,h(H)
41.0,p_351,h(S)
11.5,p_358,h(E)
12.333333333333334,p_358,h(H)
20.166666666666668,p_358,h(S)
23.333333333333332,p_359,h(E)
18.166666666666668,p_359,h(H)
15.166666666666666,p_359,h(S)
9.5,p_363,h(E)
10.5,p_363,h(H)
29.0,p_363,h(S)
6.333333333333333,p_369,h(E)
5.666666666666667,p_369,h(H)
41.0,p_369,h(S)
16.0,p_370,h(E)
9.666666666666666,p_370,h(H)
14.333333333333334,p_370,h(S)
11.666666666666666,p_371,h(E)
16.5,p_371,h(H)
20.166666666666668,p_371,h(S)
15.5,p_372,h(E)
8.833333333333334,p_372,h(H)
11.0,p_372,h(S)
12.166666666666666,p_376,h(E)
12.333333333333334,p_376,h(H)
15.166666666666666,p_376,h(S)
16.5,p_378,h(E)
16.0,p_378,h(H)
20.666666666666668,p_378,h(S)
22.5,p_382,h(E)
20.166666666666668,p_382,h(H)
33.166666666666664,p_382,h(S)
10.166666666666666,p_385,h(E)
15.0,p_385,h(H)
26.666666666666668,p_385,h(S)
15.666666666666666,p_387,h(E)
16.0,p_387,h(H)
20.166666666666668,p_387,h(S)
