values,participants,groups
17602.833333333332,p_325,h(E)
14736.5,p_325,h(H)
14294.0,p_325,h(S)
15056.333333333334,p_328,h(E)
14169.5,p_328,h(H)
24551.666666666668,p_328,h(S)
21788.0,p_329,h(E)
30673.666666666668,p_329,h(H)
8626.166666666666,p_329,h(S)
35196.166666666664,p_330,h(E)
25788.833333333332,p_330,h(H)
16972.666666666668,p_330,h(S)
26659.5,p_335,h(E)
45499.0,p_335,h(H)
13441.333333333334,p_335,h(S)
22842.0,p_336,h(E)
18365.0,p_336,h(H)
18604.166666666668,p_336,h(S)
16742.833333333332,p_337,h(E)
28050.0,p_337,h(H)
26247.333333333332,p_337,h(S)
12852.666666666666,p_338,h(E)
15414.333333333334,p_338,h(H)
13063.666666666666,p_338,h(S)
43561.166666666664,p_339,h(E)
14960.0,p_339,h(H)
21764.666666666668,p_339,h(S)
21937.166666666668,p_341,h(E)
33709.166666666664,p_341,h(H)
26018.666666666668,p_341,h(S)
45907.833333333336,p_342,h(E)
41494.5,p_342,h(H)
29433.666666666668,p_342,h(S)
14036.5,p_343,h(E)
14682.333333333334,p_343,h(H)
13028.166666666666,p_343,h(S)
24798.0,p_347,h(E)
61222.833333333336,p_347,h(H)
16706.166666666668,p_347,h(S)
15432.333333333334,p_348,h(E)
14307.5,p_348,h(H)
13775.5,p_348,h(S)
12142.333333333334,p_349,h(E)
37922.333333333336,p_349,h(H)
20141.0,p_349,h(S)
13921.5,p_350,h(E)
19919.666666666668,p_350,h(H)
17623.5,p_350,h(S)
39990.833333333336,p_351,h(E)
31147.5,p_351,h(H)
70520.83333333333,p_351,h(S)
19724.833333333332,p_358,h(E)
60107.5,p_358,h(H)
25877.166666666668,p_358,h(S)
43928.0,p_359,h(E)
45141.333333333336,p_359,h(H)
21182.0,p_359,h(S)
20305.166666666668,p_363,h(E)
28342.0,p_363,h(H)
32059.5,p_363,h(S)
12432.5,p_369,h(E)
14056.5,p_369,h(H)
41130.333333333336,p_369,h(S)
55135.5,p_370,h(E)
24008.166666666668,p_370,h(H)
25112.5,p_370,h(S)
16422.5,p_371,h(E)
31908.833333333332,p_371,h(H)
17500.333333333332,p_371,h(S)
19166.5,p_372,h(E)
15309.166666666666,p_372,h(H)
13428.833333333334,p_372,h(S)
28604.166666666668,p_376,h(E)
17189.833333333332,p_376,h(H)
27892.5,p_376,h(S)
24073.333333333332,p_378,h(E)
18561.833333333332,p_378,h(H)
14376.0,p_378,h(S)
40398.333333333336,p_382,h(E)
47630.666666666664,p_382,h(H)
43297.833333333336,p_382,h(S)
11895.5,p_385,h(E)
24979.333333333332,p_385,h(H)
24266.333333333332,p_385,h(S)
31146.5,p_387,h(E)
68278.66666666667,p_387,h(H)
53553.666666666664,p_387,h(S)
