values,participants,groups
8.833333333333334,p_325,s(E)
10.333333333333334,p_325,s(H)
15.0,p_325,s(S)
9.0,p_328,s(E)
9.833333333333334,p_328,s(H)
10.5,p_328,s(S)
30.833333333333332,p_329,s(E)
7.833333333333333,p_329,s(H)
20.833333333333332,p_329,s(S)
15.833333333333334,p_330,s(E)
6.0,p_330,s(H)
11.166666666666666,p_330,s(S)
9.666666666666666,p_335,s(E)
23.166666666666668,p_335,s(H)
21.0,p_335,s(S)
21.166666666666668,p_336,s(E)
10.0,p_336,s(H)
15.166666666666666,p_336,s(S)
11.5,p_337,s(E)
19.0,p_337,s(H)
10.833333333333334,p_337,s(S)
6.666666666666667,p_338,s(E)
4.0,p_338,s(H)
17.833333333333332,p_338,s(S)
7.333333333333333,p_339,s(E)
9.333333333333334,p_339,s(H)
15.166666666666666,p_339,s(S)
13.833333333333334,p_341,s(E)
20.666666666666668,p_341,s(H)
15.833333333333334,p_341,s(S)
7.333333333333333,p_342,s(E)
7.5,p_342,s(H)
28.0,p_342,s(S)
7.666666666666667,p_343,s(E)
15.0,p_343,s(H)
23.166666666666668,p_343,s(S)
6.0,p_347,s(E)
13.5,p_347,s(H)
12.666666666666666,p_347,s(S)
3.6666666666666665,p_348,s(E)
5.0,p_348,s(H)
14.333333333333334,p_348,s(S)
4.666666666666667,p_349,s(E)
6.666666666666667,p_349,s(H)
11.5,p_349,s(S)
18.833333333333332,p_350,s(E)
5.333333333333333,p_350,s(H)
15.833333333333334,p_350,s(S)
24.0,p_351,s(E)
34.5,p_351,s(H)
61.833333333333336,p_351,s(S)
20.666666666666668,p_358,s(E)
7.666666666666667,p_358,s(H)
18.166666666666668,p_358,s(S)
18.666666666666668,p_359,s(E)
22.0,p_359,s(H)
23.666666666666668,p_359,s(S)
19.5,p_363,s(E)
15.5,p_363,s(H)
20.833333333333332,p_363,s(S)
6.166666666666667,p_369,s(E)
10.666666666666666,p_369,s(H)
37.166666666666664,p_369,s(S)
23.166666666666668,p_370,s(E)
9.666666666666666,p_370,s(H)
17.5,p_370,s(S)
21.666666666666668,p_371,s(E)
11.333333333333334,p_371,s(H)
15.666666666666666,p_371,s(S)
14.5,p_372,s(E)
13.166666666666666,p_372,s(H)
12.5,p_372,s(S)
13.0,p_376,s(E)
10.0,p_376,s(H)
19.333333333333332,p_376,s(S)
31.166666666666668,p_378,s(E)
11.666666666666666,p_378,s(H)
21.833333333333332,p_378,s(S)
17.5,p_382,s(E)
7.666666666666667,p_382,s(H)
26.833333333333332,p_382,s(S)
13.166666666666666,p_385,s(E)
24.666666666666668,p_385,s(H)
20.166666666666668,p_385,s(S)
8.0,p_387,s(E)
9.666666666666666,p_387,s(H)
18.333333333333332,p_387,s(S)
