values,participants,groups
9992.0,p_325,s(E)
24170.666666666668,p_325,s(H)
16090.166666666666,p_325,s(S)
17587.833333333332,p_328,s(E)
14146.333333333334,p_328,s(H)
13561.666666666666,p_328,s(S)
21220.833333333332,p_329,s(E)
27556.0,p_329,s(H)
12688.5,p_329,s(S)
26660.833333333332,p_330,s(E)
14340.333333333334,p_330,s(H)
14446.0,p_330,s(S)
10206.5,p_335,s(E)
40481.5,p_335,s(H)
11527.166666666666,p_335,s(S)
34505.5,p_336,s(E)
21864.5,p_336,s(H)
18099.833333333332,p_336,s(S)
14744.666666666666,p_337,s(E)
45024.333333333336,p_337,s(H)
14454.333333333334,p_337,s(S)
13082.166666666666,p_338,s(E)
11783.333333333334,p_338,s(H)
21849.333333333332,p_338,s(S)
12701.666666666666,p_339,s(E)
17832.0,p_339,s(H)
30846.333333333332,p_339,s(S)
32442.666666666668,p_341,s(E)
60028.166666666664,p_341,s(H)
18007.5,p_341,s(S)
22421.0,p_342,s(E)
44894.333333333336,p_342,s(H)
30659.0,p_342,s(S)
9392.833333333334,p_343,s(E)
38024.0,p_343,s(H)
15304.333333333334,p_343,s(S)
9643.833333333334,p_347,s(E)
39977.166666666664,p_347,s(H)
11274.333333333334,p_347,s(S)
10686.833333333334,p_348,s(E)
12289.833333333334,p_348,s(H)
13386.333333333334,p_348,s(S)
9408.5,p_349,s(E)
18075.666666666668,p_349,s(H)
20661.0,p_349,s(S)
19192.0,p_350,s(E)
12280.833333333334,p_350,s(H)
16076.666666666666,p_350,s(S)
30956.166666666668,p_351,s(E)
58829.333333333336,p_351,s(H)
69428.33333333333,p_351,s(S)
50649.666666666664,p_358,s(E)
20747.833333333332,p_358,s(H)
27067.666666666668,p_358,s(S)
16462.666666666668,p_359,s(E)
45896.333333333336,p_359,s(H)
26501.833333333332,p_359,s(S)
25672.666666666668,p_363,s(E)
38750.5,p_363,s(H)
31756.0,p_363,s(S)
10237.333333333334,p_369,s(E)
23058.5,p_369,s(H)
34142.5,p_369,s(S)
34991.166666666664,p_370,s(E)
26626.166666666668,p_370,s(H)
34226.333333333336,p_370,s(S)
27342.5,p_371,s(E)
30597.5,p_371,s(H)
14317.166666666666,p_371,s(S)
23376.833333333332,p_372,s(E)
29291.833333333332,p_372,s(H)
13235.166666666666,p_372,s(S)
17425.833333333332,p_376,s(E)
15319.833333333334,p_376,s(H)
19498.5,p_376,s(S)
46171.666666666664,p_378,s(E)
14017.5,p_378,s(H)
14957.333333333334,p_378,s(S)
26642.166666666668,p_382,s(E)
21629.166666666668,p_382,s(H)
34088.666666666664,p_382,s(S)
12937.0,p_385,s(E)
32511.333333333332,p_385,s(H)
13973.333333333334,p_385,s(S)
12221.833333333334,p_387,s(E)
193647.83333333334,p_387,s(H)
35995.666666666664,p_387,s(S)
