values,participants,groups
0.9444444444444444,p_325,E
0.8333333333333334,p_325,H
1.0,p_325,S
0.8888888888888888,p_328,E
0.8888888888888888,p_328,H
0.8888888888888888,p_328,S
0.5555555555555556,p_329,E
0.6111111111111112,p_329,H
0.4444444444444444,p_329,S
0.9444444444444444,p_330,E
1.0,p_330,H
1.0,p_330,S
1.0,p_335,E
1.0,p_335,H
0.9444444444444444,p_335,S
0.8333333333333334,p_336,E
1.0,p_336,H
0.9444444444444444,p_336,S
1.0,p_337,E
1.0,p_337,H
0.8888888888888888,p_337,S
1.0,p_338,E
1.0,p_338,H
0.9444444444444444,p_338,S
0.6111111111111112,p_339,E
0.5555555555555556,p_339,H
0.7777777777777778,p_339,S
1.0,p_341,E
1.0,p_341,H
0.8333333333333334,p_341,S
0.8333333333333334,p_342,E
0.7222222222222222,p_342,H
0.7777777777777778,p_342,S
0.8333333333333334,p_343,E
0.7222222222222222,p_343,H
0.8333333333333334,p_343,S
1.0,p_347,E
0.9444444444444444,p_347,H
0.9444444444444444,p_347,S
0.9444444444444444,p_348,E
0.8888888888888888,p_348,H
0.7777777777777778,p_348,S
0.8333333333333334,p_349,E
0.6666666666666666,p_349,H
0.7777777777777778,p_349,S
0.8333333333333334,p_350,E
0.9444444444444444,p_350,H
0.9444444444444444,p_350,S
1.0,p_351,E
1.0,p_351,H
1.0,p_351,S
0.6666666666666666,p_358,E
0.8333333333333334,p_358,H
0.7777777777777778,p_358,S
0.9444444444444444,p_359,E
0.8333333333333334,p_359,H
0.9444444444444444,p_359,S
0.8333333333333334,p_363,E
0.8333333333333334,p_363,H
0.6666666666666666,p_363,S
0.7222222222222222,p_369,E
0.5555555555555556,p_369,H
0.7222222222222222,p_369,S
0.5,p_370,E
0.6666666666666666,p_370,H
0.5555555555555556,p_370,S
1.0,p_371,E
0.9444444444444444,p_371,H
0.8888888888888888,p_371,S
0.9444444444444444,p_372,E
0.7777777777777778,p_372,H
0.8888888888888888,p_372,S
0.6666666666666666,p_376,E
0.6111111111111112,p_376,H
0.5555555555555556,p_376,S
0.9444444444444444,p_378,E
1.0,p_378,H
0.9444444444444444,p_378,S
0.8888888888888888,p_382,E
0.8888888888888888,p_382,H
0.8888888888888888,p_382,S
0.8888888888888888,p_385,E
0.8888888888888888,p_385,H
0.8333333333333334,p_385,S
0.4444444444444444,p_387,E
0.5555555555555556,p_387,H
0.4444444444444444,p_387,S
