values,participants,groups
0.9411764705882353,p_325,E
0.5882352941176471,p_325,H
1.0,p_325,S
1.0,p_336,E
1.0,p_336,H
0.9411764705882353,p_336,S
1.0,p_338,E
1.0,p_338,H
1.0,p_338,S
0.7647058823529411,p_339,E
0.6470588235294118,p_339,H
1.0,p_339,S
1.0,p_341,E
1.0,p_341,H
0.7647058823529411,p_341,S
1.0,p_348,E
0.9411764705882353,p_348,H
0.8823529411764706,p_348,S
0.7058823529411765,p_350,E
0.9411764705882353,p_350,H
1.0,p_350,S
1.0,p_351,E
1.0,p_351,H
1.0,p_351,S
0.5882352941176471,p_358,E
0.7058823529411765,p_358,H
0.7647058823529411,p_358,S
1.0,p_371,E
1.0,p_371,H
0.7647058823529411,p_371,S
1.0,p_372,E
0.9411764705882353,p_372,H
0.9411764705882353,p_372,S
0.35294117647058826,p_376,E
0.17647058823529413,p_376,H
0.47058823529411764,p_376,S
0.8235294117647058,p_382,E
0.8823529411764706,p_382,H
0.9411764705882353,p_382,S
0.7058823529411765,p_387,E
0.8235294117647058,p_387,H
0.7647058823529411,p_387,S
