,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134
graph_E-q_0,e_group_1,,,,,,,,,,,,,,,,,,,,,,,,,,,e_group_1,,,,,,,,,,,,,,,,,,,,,,,,,,,e_group_1,,,,,,,,,,,,,,,,,,,,,,,,,,,e_group_1,,,,,,,,,,,,,,,,,,,,,,,,,,,e_group_1,,,,,,,,,,,,,,,,,,,,,,,,,,
type_E-q_0,T6,,,,,,,,,,,,,,,,,,,,,,,,,,,T6,,,,,,,,,,,,,,,,,,,,,,,,,,,T6,,,,,,,,,,,,,,,,,,,,,,,,,,,T6,,,,,,,,,,,,,,,,,,,,,,,,,,,T6,,,,,,,,,,,,,,,,,,,,,,,,,,
E-q_0,option-3,,,,,,,,,,,,,,,,,,,,,,,,,,,option-3,,,,,,,,,,,,,,,,,,,,,,,,,,,option-2,,,,,,,,,,,,,,,,,,,,,,,,,,,option-2,,,,,,,,,,,,,,,,,,,,,,,,,,,option-2,,,,,,,,,,,,,,,,,,,,,,,,,,
correct_E-q_0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
trueAnswer_E-q_0,option-2,,,,,,,,,,,,,,,,,,,,,,,,,,,option-3,,,,,,,,,,,,,,,,,,,,,,,,,,,option-2,,,,,,,,,,,,,,,,,,,,,,,,,,,option-2,,,,,,,,,,,,,,,,,,,,,,,,,,,option-2,,,,,,,,,,,,,,,,,,,,,,,,,,
editDist_E-q_0,0.6666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
time_E-q_0,6331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,73618.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,17114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,12193.0,,,,,,,,,,,,,,,,,,,,,,,,,,
hoverCount_E-q_0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
panCount_E-q_0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
zoomCount_E-q_0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
dblclickCount_E-q_0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
resetCount_E-q_0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
graph_E-q_2,,e_group_2,,,,,,,,,,,,,,,,,,,,,,,,,,,e_group_2,,,,,,,,,,,,,,,,,,,,,,,,,,,e_group_2,,,,,,,,,,,,,,,,,,,,,,,,,,,e_group_2,,,,,,,,,,,,,,,,,,,,,,,,,,,e_group_2,,,,,,,,,,,,,,,,,,,,,,,,,
type_E-q_2,,T6,,,,,,,,,,,,,,,,,,,,,,,,,,,T6,,,,,,,,,,,,,,,,,,,,,,,,,,,T6,,,,,,,,,,,,,,,,,,,,,,,,,,,T6,,,,,,,,,,,,,,,,,,,,,,,,,,,T6,,,,,,,,,,,,,,,,,,,,,,,,,
E-q_2,,option-4,,,,,,,,,,,,,,,,,,,,,,,,,,,option-3,,,,,,,,,,,,,,,,,,,,,,,,,,,option-2,,,,,,,,,,,,,,,,,,,,,,,,,,,option-2,,,,,,,,,,,,,,,,,,,,,,,,,,,option-2,,,,,,,,,,,,,,,,,,,,,,,,,
correct_E-q_2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
trueAnswer_E-q_2,,option-3,,,,,,,,,,,,,,,,,,,,,,,,,,,option-3,,,,,,,,,,,,,,,,,,,,,,,,,,,option-2,,,,,,,,,,,,,,,,,,,,,,,,,,,option-2,,,,,,,,,,,,,,,,,,,,,,,,,,,option-2,,,,,,,,,,,,,,,,,,,,,,,,,
editDist_E-q_2,,0.6666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
time_E-q_2,,14940.0,,,,,,,,,,,,,,,,,,,,,,,,,,,137411.0,,,,,,,,,,,,,,,,,,,,,,,,,,,56689.0,,,,,,,,,,,,,,,,,,,,,,,,,,,66035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,19487.0,,,,,,,,,,,,,,,,,,,,,,,,,
hoverCount_E-q_2,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,
panCount_E-q_2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
zoomCount_E-q_2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
dblclickCount_E-q_2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
resetCount_E-q_2,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
graph_E-q_4,,,h_group_0,,,,,,,,,,,,,,,,,,,,,,,,,,,h_group_0,,,,,,,,,,,,,,,,,,,,,,,,,,,h_group_0,,,,,,,,,,,,,,,,,,,,,,,,,,,h_group_0,,,,,,,,,,,,,,,,,,,,,,,,,,,h_group_0,,,,,,,,,,,,,,,,,,,,,,,,
type_E-q_4,,,T6,,,,,,,,,,,,,,,,,,,,,,,,,,,T6,,,,,,,,,,,,,,,,,,,,,,,,,,,T6,,,,,,,,,,,,,,,,,,,,,,,,,,,T6,,,,,,,,,,,,,,,,,,,,,,,,,,,T6,,,,,,,,,,,,,,,,,,,,,,,,
E-q_4,,,option-3,,,,,,,,,,,,,,,,,,,,,,,,,,,option-2,,,,,,,,,,,,,,,,,,,,,,,,,,,option-2,,,,,,,,,,,,,,,,,,,,,,,,,,,option-2,,,,,,,,,,,,,,,,,,,,,,,,,,,option-2,,,,,,,,,,,,,,,,,,,,,,,,
correct_E-q_4,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
trueAnswer_E-q_4,,,option-2,,,,,,,,,,,,,,,,,,,,,,,,,,,option-2,,,,,,,,,,,,,,,,,,,,,,,,,,,option-2,,,,,,,,,,,,,,,,,,,,,,,,,,,option-2,,,,,,,,,,,,,,,,,,,,,,,,,,,option-2,,,,,,,,,,,,,,,,,,,,,,,,
