,E_avg,H_avg,S_avg
p_325,0.9444444444444444,0.8333333333333334,1.0
p_328,0.8888888888888888,0.8888888888888888,0.8888888888888888
p_329,0.5555555555555556,0.6111111111111112,0.4444444444444444
p_330,0.9444444444444444,1.0,1.0
p_335,1.0,1.0,0.9444444444444444
p_336,0.8333333333333334,1.0,0.9444444444444444
p_337,1.0,1.0,0.8888888888888888
p_338,1.0,1.0,0.9444444444444444
p_339,0.6111111111111112,0.5555555555555556,0.7777777777777778
p_341,1.0,1.0,0.8333333333333334
p_342,0.8333333333333334,0.7222222222222222,0.7777777777777778
p_343,0.8333333333333334,0.7222222222222222,0.8333333333333334
p_347,1.0,0.9444444444444444,0.9444444444444444
p_348,0.9444444444444444,0.8888888888888888,0.7777777777777778
p_349,0.8333333333333334,0.6666666666666666,0.7777777777777778
p_350,0.8333333333333334,0.9444444444444444,0.9444444444444444
p_351,1.0,1.0,1.0
p_358,0.6666666666666666,0.8333333333333334,0.7777777777777778
p_359,0.9444444444444444,0.8333333333333334,0.9444444444444444
p_363,0.8333333333333334,0.8333333333333334,0.6666666666666666
p_369,0.7222222222222222,0.5555555555555556,0.7222222222222222
p_370,0.5,0.6666666666666666,0.5555555555555556
p_371,1.0,0.9444444444444444,0.8888888888888888
p_372,0.9444444444444444,0.7777777777777778,0.8888888888888888
p_376,0.6666666666666666,0.6111111111111112,0.5555555555555556
p_378,0.9444444444444444,1.0,0.9444444444444444
p_382,0.8888888888888888,0.8888888888888888,0.8888888888888888
p_385,0.8888888888888888,0.8888888888888888,0.8333333333333334
p_387,0.4444444444444444,0.5555555555555556,0.4444444444444444
p_397,1.0,0.9444444444444444,0.8888888888888888
p_400,0.8333333333333334,0.3888888888888889,0.8333333333333334
p_404,0.4444444444444444,0.2222222222222222,0.2222222222222222
