,value,group
0,15377,E
1,53538,E
2,6331,E
3,25511,E
4,18258,E
5,34102,E
6,66489,E
7,16937,E
8,12305,E
9,59693,E
10,73618,E
11,31165,E
12,20068,E
13,15483,E
14,30975,E
15,17669,E
16,26021,E
17,262434,E
18,87915,E
19,20958,E
20,20590,E
21,17114,E
22,12193,E
23,20920,E
24,41268,E
25,20844,E
26,22927,E
27,14816,E
28,23576,E
29,14364,E
30,396276,E
31,26561,E
32,14556,E
33,15404,E
34,51235,E
35,6944,E
36,17172,E
37,14935,E
38,21220,E
39,65689,E
40,11944,E
41,15350,E
42,47940,E
43,41225,E
44,16796,E
45,38972,E
46,76292,E
47,48021,E
48,17876,E
49,15030,E
50,77944,E
51,14962,E
52,9796,E
53,42001,E
54,48101,E
55,48358,E
56,17435,E
57,294801,E
58,7534,E
59,25074,E
60,14940,E
61,20156,E
62,18887,E
63,24773,E
64,16275,E
65,12329,E
66,13673,E
67,20235,E
68,137411,E
69,7270,E
70,27868,E
71,25018,E
72,56689,E
73,19031,E
74,48991,E
75,142090,E
76,18139,E
77,16211,E
78,35975,E
79,66035,E
80,19487,E
81,58533,E
82,28734,E
83,14054,E
84,13337,E
85,26103,E
86,36783,E
87,23933,E
88,15893,E
89,9130,E
90,42990,E
91,16048,E
92,15777,E
93,12943,E
94,16659,E
95,15020,E
96,30811,E
97,45825,E
98,7893,E
99,9091,E
100,19491,E
101,7220,E
102,17484,E
103,45102,E
104,12565,E
105,59628,E
106,24617,E
107,17531,E
108,19864,E
109,6668,E
110,21417,E
111,35700,E
112,16194,E
113,37996,E
114,14621,E
115,35225,E
116,13374,E
117,30364,E
118,30645,E
119,21301,E
120,8819,E
121,13736,E
122,8203,E
123,8931,E
124,53327,E
125,8641,E
126,46729,E
127,13231,E
128,11531,E
129,9394,E
130,12115,E
131,9867,E
132,47531,E
133,111502,E
134,8370,E
135,11070,E
136,11174,E
137,19212,E
138,22961,E
139,18094,E
140,12934,E
141,10016,E
142,14365,E
143,38213,E
144,40944,E
145,30188,E
146,16702,E
147,21020,E
148,92092,E
149,83953,E
150,12517,E
151,21117,E
152,9936,E
153,19534,E
154,11473,E
