author/0/name,author/1/name,author/2/name,author/3/name,author/4/name,author/5/name,citekey,collection,id,journal/name,journal/volume,journal/number,journal/pages,sections/0,sections/1,sections/2,sections/3,summarized,summarizer,title,type,use_image,year,sections/4,booktitle,editor/0/name/name,editor/0/name/ID,editor/1/name/name,editor/1/name/ID,pages,publisher/name,series,volume,organization,address,publisher/address,editor/2/name/name,editor/2/name/ID,howpublished,note,school,number,author/6/name,author/7/name,journal/month,author/0/@pid,author/0/text,author/1/@pid,author/1/text,author/2/@pid,author/2/text,doi,new_paper,url,author/3/@pid,author/3/text,author/4/@pid,author/4/text,author/5/@pid,author/5/text,author/6/@pid,author/6/text
"Kruiger, Johannes F.","Rauber, Paulo E.","Martins, Rafael Messias","Kerren, Andreas","Kobourov, Stephen G.","Telea, Alexandru C.",DBLP:journals/cgf/KruigerRMKKT17,bibtex,DBLP:journals/cgf/KruigerRMKKT17,Comput. Graph. Forum,36,3,283--294,GL by DR,local,Euclidean,SuiteSparse,FALSE,Jacob,Graph Layouts by t-SNE,article,FALSE,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zheng, Jonathan X.","Pawar, Samraat","Goodman, Dan F. M.",,,,DBLP:journals/tvcg/ZhengPG19,bibtex,DBLP:journals/tvcg/ZhengPG19,IEEE Trans. Vis. Comput. Graph.,25,9,2738--2748,GL by DR,global,Euclidean,SuiteSparse,FALSE,unassigned,Graph Drawing by Stochastic Gradient Descent,article,FALSE,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wattenberg, Martin","Viégas, Fernanda","Johnson, Ian",,,,wattenberg2016how,bibtex,wattenberg2016how,,,,,DR,t-sne,no graph,Euclidean,FALSE,unassigned,How to Use t-SNE Effectively,article,FALSE,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kamada, Tomihisa","Kawai, Satoru",,,,,DBLP:journals/ipl/KamadaK89,bibtex,DBLP:journals/ipl/KamadaK89,Inf. Process. Lett.,31,1,7--15,classic,GL by DR,global,Euclidean,FALSE,unassigned,An Algorithm for Drawing General Undirected Graphs,article,FALSE,1989,small graphs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhu, Minfeng","Chen, Wei","Hu, Yuanzhe","Hou, Yuxuan","Liu, Liangjun","Zhang, Kaiyuan",DBLP:journals/tvcg/ZhuCHHLZ21,bibtex,DBLP:journals/tvcg/ZhuCHHLZ21,IEEE Trans. Vis. Comput. Graph.,27,2,1666--1676,GL by DR,local,Euclidean,SuiteSparse,FALSE,unassigned,"DRGraph: An Efficient Graph Layout Algorithm for Large-scale Graphs
by Dimensionality Reduction",article,FALSE,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Devkota, Sabin","Ahmed, Abu Reyan","Luca, Felice De","Isaacs, Katherine E.","Kobourov, Stephen G.",,DBLP:conf/gd/DevkotaALIK19,bibtex,DBLP:conf/gd/DevkotaALIK19,,,,,simultaneous optimization,euclidean,,,FALSE,unassigned,Stress-Plus-X (SPX) Graph Layout,inproceedings,FALSE,2019,,"Graph Drawing and Network Visualization - 27th International Symposium,
GD 2019","Archambault, Daniel",ArchambaultDaniel,"Tóth, Csaba D.",TóthCsabaD,291--304,Springer,Lecture Notes in Computer Science,11904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ahmed, Reyan","De Luca, Felice","Devkota, Sabin","Kobourov, Stephen G","Li, Mingwei",,DBLP:conf/gd/AhmedLDKL20,bibtex,DBLP:conf/gd/AhmedLDKL20,IEEE Transactions on Visualization and Computer Graphics,,,1--1,simultaneous optimization,euclidean,,,FALSE,unassigned,"Multicriteria Scalable Graph Drawing via Stochastic Gradient Descent, $(SGD)^2$",article,FALSE,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Noack, Andreas",,,,,,noack2003energy,bibtex,noack2003energy,,,,,FDA,local,euclidean,,FALSE,unassigned,An energy model for visual graph clustering,inproceedings,FALSE,2003,,International symposium on graph drawing,,,,,425--436,,,,Springer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brandes, Ulrik","Pich, Christian",,,,,DBLP:conf/gd/BrandesP06,bibtex,DBLP:conf/gd/BrandesP06,,,,,GL by DR,PMDS,initialization,large graphs,FALSE,unassigned,"Eigensolver Methods for Progressive Multidimensional Scaling of Large
Data",inproceedings,FALSE,2006,,"Graph Drawing, 14th International Symposium, GD 2006,  Revised Papers","Kaufmann, Michael",KaufmannMichael,"Wagner, Dorothea",WagnerDorothea,42--53,Springer,Lecture Notes in Computer Science,4372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tamassia, Roberto",,,,,,tamassia2013handbook,bibtex,tamassia2013handbook,,,,,survey,GL,,,FALSE,unassigned,Handbook of graph drawing and visualization,book,FALSE,2013,,,,,,,,CRC press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
